iter	Passed	Remaining
0	0	44
1	0	42
2	1	41
3	1	40
4	2	40
5	2	40
6	2	38
7	3	38
8	3	37
9	4	36
10	4	36
11	4	35
12	5	35
13	5	34
14	6	34
15	6	34
16	6	33
17	7	33
18	7	32
19	8	32
20	8	31
21	8	31
22	9	30
23	9	30
24	9	29
25	10	29
26	10	28
27	11	28
28	11	27
29	11	27
30	12	27
31	12	26
32	12	26
33	13	25
34	13	25
35	13	24
36	14	24
37	14	23
38	15	23
39	15	22
40	15	22
41	16	22
42	16	21
43	16	21
44	17	21
45	17	20
46	18	20
47	18	20
48	18	19
49	19	19
50	19	18
51	20	18
52	20	18
53	20	17
54	21	17
55	21	16
56	21	16
57	22	15
58	22	15
59	22	15
60	23	14
61	23	14
62	23	14
63	24	13
64	24	13
65	25	12
66	25	12
67	25	12
68	26	11
69	26	11
70	27	11
71	27	10
72	28	10
73	28	9
74	28	9
75	29	9
76	29	8
77	29	8
78	30	8
79	30	7
80	31	7
81	31	6
82	31	6
83	32	6
84	32	5
85	33	5
86	33	5
87	34	4
88	34	4
89	34	3
90	35	3
91	35	3
92	36	2
93	36	2
94	36	1
95	37	1
96	37	1
97	37	0
98	38	0
99	38	0
